作品ID,作品名,作品名読み,ソート用読み,副題,副題読み,原題,初出,分類番号,文字遣い種別,作品著作権フラグ,公開日,最終更新日,図書カードURL,人物ID,姓,名,姓読み,名読み,姓読みソート用,名読みソート用,姓ローマ字,名ローマ字,役割フラグ,生年月日,没年月日,人物著作権フラグ,底本名1,底本出版社名1,底本初版発行年1,入力に使用した版1,校正に使用した版1,底本の親本名1,底本の親本出版社名1,底本の親本初版発行年1,底本名2,底本出版社名2,底本初版発行年2,入力に使用した版2,校正に使用した版2,底本の親本名2,底本の親本出版社名2,底本の親本初版発行年2,入力者,校正者,テキストファイルURL,テキストファイル最終更新日,テキストファイル符号化方式,テキストファイル文字集合,テキストファイル修正回数,XHTML/HTMLファイルURL,XHTML/HTMLファイル最終更新日,XHTML/HTMLファイル符号化方式,XHTML/HTMLファイル文字集合,XHTML/HTMLファイル修正回数
004307,グリゴリの捕縛,グリゴリのほばく,くりこりのほはく,,,,,NDC 323,新字新仮名,あり,2001-11-26,2014-09-17,https://www.aozora.gr.jp/cards/000021/card4307.html,000021,白田,秀彰,しらた,ひであき,しらた,ひてあき,Shirata,Hideaki,著者,,,あり,,,,,,,,,,,,,,,,,,,,,,,,http://orion.mt.tama.hosei.ac.jp/hideaki/kenporon.htm,2001-11-26,ShiftJIS,JIS X 0208,0
000231,コピーライトの史的展開,コピーライトのしてきてんかい,こひいらいとのしてきてんかい,,,,,NDC 021,新字新仮名,あり,1998-03-25,2014-09-17,https://www.aozora.gr.jp/cards/000021/card231.html,000021,白田,秀彰,しらた,ひであき,しらた,ひてあき,Shirata,Hideaki,著者,,,あり,「一橋研究」 19巻4号(1995年1月) から21巻3号(1996年10月)まで不定期連載,,,,,,,,,,,,,,,,,,,,,,,http://orion.mt.tama.hosei.ac.jp/hideaki/copyrigh.htm,1998-03-25,ShiftJIS,JIS X 0208,0
000861,著作権の原理と現代著作権理論,ちょさくけんのげんりとげんだいちょさくけんりろん,ちよさくけんのけんりとけんたいちよさくけんりろん,,,,,NDC 021,新字新仮名,あり,1998-03-25,2014-09-17,https://www.aozora.gr.jp/cards/000021/card861.html,000021,白田,秀彰,しらた,ひであき,しらた,ひてあき,Shirata,Hideaki,著者,,,あり,,,,,,,,,,,,,,,,,,,,,,,,http://orion.mt.tama.hosei.ac.jp/hideaki/theory.htm,1998-03-25,ShiftJIS,JIS X 0208,0
000367,ハッカー倫理と情報公開・プライバシー,ハッカーりんりとじょうほうこうかい・プライバシー,はつかありんりとしようほうこうかいふらいはしい,,,,,NDC 007 316,新字新仮名,あり,1998-03-25,2014-09-17,https://www.aozora.gr.jp/cards/000021/card367.html,000021,白田,秀彰,しらた,ひであき,しらた,ひてあき,Shirata,Hideaki,著者,,,あり,科学研究費補助金 重点領域研究報告書「高度情報化の法体系と社会制度」(1995年3月),,,,,,,,,,,,,,,,,,,,,,,http://orion.mt.tama.hosei.ac.jp/hideaki/hacker.htm,1998-03-25,ShiftJIS,JIS X 0208,0
000196,もう一つの著作権の話,もうひとつのちょさくけんのはなし,もうひとつのちよさくけんのはなし,,,,,NDC 021,新字新仮名,あり,1998-08-04,2014-09-17,https://www.aozora.gr.jp/cards/000021/card196.html,000021,白田,秀彰,しらた,ひであき,しらた,ひてあき,Shirata,Hideaki,著者,,,あり,,,,,,,,,,,,,,,,,白田秀彰,,,,,,,http://orion.mt.tama.hosei.ac.jp/hideaki/another.htm,1998-08-04,ShiftJIS,JIS X 0208,0
000222,もう一つのプライバシーの話,もうひとつのプライバシーのはなし,もうひとつのふらいはしいのはなし,,,,,NDC 316,新字新仮名,あり,1999-10-05,2014-09-17,https://www.aozora.gr.jp/cards/000021/card222.html,000021,白田,秀彰,しらた,ひであき,しらた,ひてあき,Shirata,Hideaki,著者,,,あり,,,,,,,,,,,,,,,,,白田秀彰,,,,,,,http://orion.mt.tama.hosei.ac.jp/hideaki/a_privacy.htm,1999-10-05,ShiftJIS,JIS X 0208,0
052156,彼の追憶,かれのついおく,かれのついおく,R.S.の伝記,アールエスのでんき,AS I REMEMBER HIM,,NDC 289,新字新仮名,あり,2010-10-01,2014-09-21,https://www.aozora.gr.jp/cards/001493/card52156.html,001493,ジンサー,ハンス,ジンサー,ハンス,しんさあ,はんす,Zinsser,Hans,著者,1878-11-17,1940-09-04,なし,,,,,,,,,,,,,,,,,,,,,,,,http://www.geocities.jp/minakami30jp/rs/rs.html,2010-10-04,ShiftJIS,JIS X 0208,1
004268,アイルランドにおける貧民の子女が、その両親ならびに国家にとっての重荷となることを防止し、かつ社会に対して有用ならしめんとする方法についての私案,アイルランドにおけるひんみんのしじょが、そのりょうしんならびにこっかにとってのおもにとなることをぼうしし、かつしゃかいにたいしてゆうようならしめんとするほうほうについてのしあん,あいるらんとにおけるひんみんのししよかそのりようしんならひにこつかにとつてのおもにとなることをほうししかつしやかいにたいしてゆうようならしめんとするほうほうについてのしあん,,,"A MODEST PROPOSAL FOR PREVENTING THE CHILDREN OF POOR PEOPLE IN IRELAND, FROM BEING A BURDEN ON THEIR PARENTS OR COUNTRY, AND FOR MAKING THEM BENEFICIAL TO THE PUBLICK.",,NDC 934,新字新仮名,あり,2001-09-08,2022-02-10,https://www.aozora.gr.jp/cards/000912/card4268.html,000912,スウィフト,ジョナサン,スウィフト,ジョナサン,すういふと,しよなさん,Swift,Jonathan,著者,1667-11-30,1745-10-19,なし,,,,,,,,,,,,,,,,,sogo,,http://www.e-freetext.net/mdstj.txt,2002-08-27,ShiftJIS,JIS X 0208,1,http://e-freetext.net/modestproposal/,2022-02-10,UTF-8,Unicode,2
000706,更級日記,さらしなにっき,さらしなにつき,,,,,NDC 915,新字旧仮名,なし,1997-10-27,2014-09-17,https://www.aozora.gr.jp/cards/000133/card706.html,000133,菅原孝標女,,すがわらたかすえのむすめ,,すかわらたかすえのむすめ,,Sugawara Takasue no musume,,著者,1008,,なし,宮内庁書陵部本の写真版,武蔵野書院,,,,,,,,,,,,,,,岡島昭浩,,http://www.let.osaka-u.ac.jp/~okajima/bungaku.htm,2003-03-01,ShiftJIS,JIS X 0208,1,,,,,
000524,口に入れてうれしい,くちにいれてうれしい,くちにいれてうれしい,,,,,NDC 911,新字新仮名,あり,1997-10-05,2014-09-17,https://www.aozora.gr.jp/cards/000092/card524.html,000092,鈴木,志郎康,すずき,しろうやす,すすき,しろうやす,Suzuki,Shiroyasu,著者,1935-05-19,,あり,,,,,,,,,,,,,,,,,渡辺洋,,,,,,,,,,,
